,word,synonyms,category,definition
115,tiger,Panthera_tigris,mammal,large feline of forests in most of Asia having a tawny coat with black stripes; endangered
116,bear,,mammal,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
117,grizzly_bear,silvertip silver-tip Ursus_horribilis Ursus_arctos_horribilis,mammal,powerful brownish-yellow bear of the uplands of western North America
118,polar_bear,polar_bear Ursus_Maritimus Thalarctos_maritimus,mammal,white bear of Arctic regions
119,mongoose,,mammal,agile grizzled Old World viverrine; preys on snakes and rodents
120,bat,chiropteran,mammal,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
121,beetle,,invertebrate,insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
122,ladybug,ladybeetle lady_beetle ladybird ladybird_beetle,invertebrate,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests
123,louse,,invertebrate,wingless usually flattened bloodsucking insect parasitic on warm-blooded animals
124,crab,pubic_louse Phthirius_pubis,invertebrate,a louse that infests the pubic region of the human body
125,louse,biting_louse,invertebrate,wingless insect with mouth parts adapted for biting; mostly parasitic on birds
126,flea,,invertebrate,any wingless bloodsucking parasitic insect noted for ability to leap
127,fly,,invertebrate,two-winged insects characterized by active flight
128,gadfly,,invertebrate,any of various large flies that annoy livestock
129,mosquito,,invertebrate,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
130,midge,,invertebrate,minute two-winged mosquito-like fly lacking biting mouthparts; appear in dancing swarms especially near water
131,bee,,invertebrate,any of numerous hairy-bodied insects including social and solitary species
132,bumblebee,humblebee,invertebrate,robust hairy social bee of temperate regions
133,wasp,,invertebrate,social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting
134,ant,emmet pismire,invertebrate,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
135,grasshopper,,invertebrate,terrestrial plant-eating insect with hind legs adapted for leaping
136,cockroach,,invertebrate,any of numerous chiefly nocturnal insects; some are domestic pests
137,louse,,invertebrate,any of several small insects especially aphids that feed by sucking the juices from plants
138,aphid,,invertebrate,any of various small plant-sucking insects
139,dragonfly,darning_needle devil's_darning_needle sewing_needle snake_feeder snake_doctor mosquito_hawk skeeter_hawk,invertebrate,slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.
140,moth,,invertebrate,typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
141,caterpillar,,larva,a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth
142,nymph,,larva,a larva of an insect with incomplete metamorphosis (as the dragonfly or mayfly)
143,maggot,,larva,the larva of the housefly and blowfly commonly found in decaying organic matter
144,starfish,sea_star,invertebrate,echinoderms characterized by five arms extending from a central disk
145,rabbit,coney cony,mammal,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
146,hare,,mammal,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes
147,mouse,,mammal,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
148,rat,,mammal,any of various long-tailed rodents similar to but larger than a mouse
149,hamster,,mammal,short-tailed Old World burrowing rodent with large cheek pouches
150,gerbil,,mammal,small Old World burrowing desert rodent with long soft pale fur and hind legs adapted for leaping
151,porcupine,hedgehog,mammal,relatively large rodents with sharp erectile bristles mingled with the fur
152,squirrel,,mammal,a kind of arboreal rodent having a long bushy tail
153,prairie_dog,prairie_marmot,mammal,any of several rodents of North American prairies living in large complex burrows having a barking cry
154,marmot,,mammal,stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter
155,beaver,,mammal,large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges
156,guinea_pig,Cavia_cobaya,mammal,stout-bodied nearly tailless domesticated cavy; often kept as a pet and widely used in research
157,horse,Equus_caballus,mammal,solid-hoofed herbivorous quadruped domesticated since prehistoric times
158,pony,,mammal,a range horse of the western United States
159,mule,,mammal,hybrid offspring of a male donkey and a female horse; usually sterile
160,zebra,,mammal,any of several fleet black-and-white striped African equines
161,rhinoceros,,mammal,massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
162,hog,pig grunter squealer Sus_scrofa,mammal,domestic swine
163,bullock,steer,mammal,castrated bull
164,sheep,,mammal,woolly usually horned ruminant mammal related to the goat
165,goat,caprine_animal,mammal,any of numerous agile ruminants related to sheep but having a beard and straight horns
166,antelope,,mammal,graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks
167,gazelle,,mammal,small swift graceful antelope of Africa and Asia having lustrous eyes
168,deer,cervid,mammal,distinguished from Bovidae by the male's having solid deciduous antlers
169,elk,elk American_elk wapiti Cervus_elaphus,mammal,common deer of temperate Europe and Asia
170,hart,stag,mammal,"a male deer, especially an adult male red deer"
171,elk,elk American_elk Cervus_elaphus_canadensis,mammal,large North American deer with large much-branched antlers in the male
172,elk,moose Alces_alces,mammal,large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America
173,reindeer,reindeer Rangifer_tarandus,mammal,Arctic deer with large antlers in both sexes; called `reindeer' in Eurasia and `caribou' in North America
174,camel,,mammal,cud-chewing mammal used as a draft or saddle animal in desert regions
175,llama,,mammal,wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump
176,giraffe,camelopard Giraffa_camelopardalis,mammal,tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa
177,weasel,,mammal,small carnivorous mammal with short legs and elongated body and neck
178,mink,,mammal,slender-bodied semiaquatic mammal having partially webbed feet; valued for its fur
179,polecat,fitch foulmart foumart Mustela_putorius,mammal,dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened
180,otter,,mammal,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
181,skunk,polecat wood_pussy,mammal,American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae
182,badger,,mammal,sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
183,armadillo,,mammal,burrowing chiefly nocturnal mammal with body covered with strong horny plates
184,sloth,,mammal,any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits
185,anteater,,mammal,any of several tropical American mammals of the family Myrmecophagidae which lack teeth and feed on ants and termites
186,anteater,scaly_anteater anteater,mammal,toothless mammal of southern Africa and Asia having a body covered with horny scales and a long snout for feeding on ants and termites
187,tadpole,polliwog pollywog,larva,a larval frog or toad
